add device 1: /dev/input/event4
  name:     "grip_sensor_wifi"
add device 2: /dev/input/event0
  name:     "meta_event"
add device 3: /dev/input/event5
  name:     "Exynos9610-Audio Headset Jack"
add device 4: /dev/input/event3
  name:     "grip_sensor"
add device 5: /dev/input/event8
  name:     "wacom_hall"
add device 6: /dev/input/event7
  name:     "hall"
add device 7: /dev/input/event1
  name:     "sec_touchscreen"
add device 8: /dev/input/event6
  name:     "gpio_keys"
add device 9: /dev/input/event2
  name:     "sec_e-pen"
[   32977.449160] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000040            
[   32977.449160] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000040            
[   32977.449160] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000002ac            
[   32977.449160] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000007bd            
[   32977.449160] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32977.457478] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000047            
[   32977.457478] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000047            
[   32977.457478] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000047            
[   32977.457478] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000002aa            
[   32977.457478] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32977.465841] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000004d            
[   32977.465841] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000004d            
[   32977.465841] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000004d            
[   32977.465841] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000002a9            
[   32977.465841] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32977.474130] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000052            
[   32977.474130] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000052            
[   32977.474130] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000052            
[   32977.474130] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    000002a4            
[   32977.474130] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32977.482465] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000056            
[   32977.482465] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000056            
[   32977.482465] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000056            
[   32977.482465] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    00000298            
[   32977.482465] /dev/input/event1: EV_ABS       ABS_MT_POSITION_Y    000007bc            
[   32977.482465] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32977.490800] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000005a            
[   32977.490800] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000005a            
[   32977.490800] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000005a            
[   32977.490800] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000028d            
[   32977.490800] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32977.499079] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   0000005d            
[   32977.499079] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   0000005d            
[   32977.499079] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      0000005d            
[   32977.499079] /dev/input/event1: EV_ABS       ABS_MT_POSITION_X    0000027f            
[   32977.499079] /dev/input/event1: EV_SYN       SYN_REPORT           00000000            
[   32977.507437] /dev/input/event1: EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[   32977.507437] /dev/input/event1: EV_ABS       ABS_MT_WIDTH_MAJOR   00000060            
[   32977.507437] /dev/input/event1: EV_ABS       ABS_MT_PRESSURE      00000060            
